Date,retorno_mensual_activo,posicion,retorno_estrategia_bruto,retorno_estrategia_neto,equity_estrategia,equity_buy_and_hold
2005-02-28,0.035359933953274414,0.0,0.0,0.0,1.0,1.0353599339532744
2005-03-31,0.020979515132304005,0.0,0.0,0.0,1.0,1.0570812833550285
2005-04-30,0.016686682076893167,0.0,0.0,0.0,1.0,1.0747204626598081
2005-05-31,-0.004163801584884941,0.0,-0.0,-0.0,1.0,1.070245539894077
2005-06-30,0.04380163530132575,0.0,0.0,0.0,1.0,1.1171240447153876
2005-07-31,0.025202117436477378,0.0,0.0,0.0,1.0,1.1452779360814174
2005-08-31,0.0075464889768965815,0.0,0.0,0.0,1.0,1.1539207634015387
2005-09-30,0.10466423516235723,0.0,0.0,0.0,1.0,1.274694997540924
2005-10-31,-0.095378096796909,0.0,-0.0,-0.0,1.0,1.1531170146789302
2005-11-30,-0.007359438197909074,0.0,-0.0,-0.0,1.0,1.1446307212744433
2005-12-31,-0.019580319212146202,0.0,-0.0,-0.0,1.0,1.1222184863718605
2006-01-31,0.005534550276832695,0.0,0.0,0.0,1.0,1.1284294610062766
2006-02-28,0.0033503506283163453,0.0,0.0,0.0,1.0,1.1322100953599696
2006-03-31,-0.03392720447098563,0.0,-0.0,-0.0,1.0,1.0937973719505778
2006-04-30,-0.013452734983851689,0.0,-0.0,-0.0,1.0,1.0790828057796933
2006-05-31,0.0058080864709708635,0.0,0.0,0.0,1.0,1.0853502120249996
2006-06-30,0.04847662172255407,0.0,0.0,0.0,1.0,1.1379643236898294
2006-07-31,0.04253298895580815,0.0,0.0,0.0,1.0,1.1863653477014326
2006-08-31,0.039223572675108676,0.0,0.0,0.0,1.0,1.2328988351362304
2006-09-30,0.01237340485032079,0.0,0.0,0.0,1.0,1.2481539915628599
2006-10-31,0.1333330859418369,0.0,0.0,0.0,1.0,1.4145742149885574
2006-11-30,0.05258372000699496,0.0,0.0,0.0,1.0,1.4889577894386303
2006-12-31,0.02101327404077269,0.0,0.0,0.0,1.0,1.5202456675032474
2007-01-31,0.04097756207381886,0.0,0.0,0.0,1.0,1.5825416287108158
2007-02-28,0.05051753710491247,0.0,0.0,0.0,1.0,1.662487734159283
2007-03-31,0.03502539721961062,0.0,0.0,0.0,1.0,1.7207170274209422
2007-04-30,0.05231300988751242,0.0,0.0,0.0,1.0,1.810732914290025
2007-05-31,-0.006835224605639234,0.0,-0.0,-0.0,1.0,1.798356148120029
2007-06-30,-0.10649473685538413,0.0,-0.0,-0.0,1.0,1.6068406833537243
2007-07-31,0.01744803180789134,0.0,0.0,0.0,1.0,1.6348768907070939
2007-08-31,0.02657777804502537,0.0,0.0,0.0,1.0,1.678328285839248
2007-09-30,0.034671162442921455,0.0,0.0,0.0,1.0,1.7365178784701305
2007-10-31,0.12384947305335103,0.0,0.0,0.0,1.0,1.9515847026663793
2007-11-30,0.025775543733072004,0.0,0.0,0.0,1.0,2.001887859518751
2007-12-31,-0.028383263153093363,0.0,-0.0,-0.0,1.0,1.9450677495990474
2008-01-31,-0.05060499923799211,0.0,-0.0,-0.0,1.0,1.8466375976127445
2008-02-29,-0.056618925172960965,0.0,-0.0,-0.0,1.0,1.7420829616519322
2008-03-31,0.04063711149613969,0.0,0.0,0.0,1.0,1.812876181200107
2008-04-30,0.0565827636834082,0.0,0.0,0.0,1.0,1.9154537257482322
2008-05-31,0.018554846534165836,0.0,0.0,0.0,1.0,1.950994675672787
2008-06-30,-0.022119855321130588,0.0,-0.0,-0.0,1.0,1.9078389557146087
2008-07-31,-0.016011204474020824,0.0,-0.0,-0.0,1.0,1.8772921560911597
2008-08-31,-0.062411235814975985,0.0,-0.0,-0.0,1.0,1.7601280326437496
2008-09-30,-0.16250409624640438,0.0,-0.0,-0.0,1.0,1.4741000174210153
2008-10-31,-0.06083522258911889,0.0,-0.0,-0.0,1.0,1.3844228147425837
2008-11-30,0.04176251159527333,0.0,0.0,0.0,1.0,1.4422397885960319
2008-12-31,0.03219893417819586,0.0,0.0,0.0,1.0,1.4886783726182107
2009-01-31,0.02423977356773066,0.0,0.0,0.0,1.0,1.5247635992856539
2009-02-28,-0.1121062983827652,0.0,-0.0,-0.0,1.0,1.3538279962609574
2009-03-31,0.11912645002026889,0.0,0.0,0.0,1.0,1.5151047193935792
2009-04-30,0.06031926384408437,0.0,0.0,0.0,1.0,1.6064947207140978
2009-05-31,0.05093898393164453,0.0,0.0,0.0,1.0,1.688327929478825
2009-06-30,0.01415297584921893,0.0,0.0,0.0,1.0,1.7122227938903005
2009-07-31,-0.003341631193003791,0.0,-0.0,-0.0,1.0,1.7065011767928646
2009-08-31,-0.00046960740532875356,0.0,-0.0,-0.0,1.0,1.7056997912030405
2009-09-30,-0.01691015189887446,0.0,-0.0,-0.0,1.0,1.6768561486399187
2009-10-31,-0.11099069107932591,0.0,-0.0,-0.0,1.0,1.4907407258617573
2009-11-30,0.06816618803980257,0.0,0.0,0.0,1.0,1.5923588384994416
2009-12-31,0.016355960988839513,0.0,0.0,0.0,1.0,1.6184033975421723
2010-01-31,-0.07686485011485056,0.0,-0.0,-0.0,1.0,1.4940050629647283
2010-02-28,-0.03874607221456239,0.0,-0.0,-0.0,1.0,1.4361182349061752
2010-03-31,0.04226901571248609,0.0,0.0,0.0,1.0,1.496821539142412
2010-04-30,0.07697109087763043,0.0,0.0,0.0,1.0,1.6120335258593372
2010-05-31,-0.040730473130390354,0.0,-0.0,-0.0,1.0,1.546374637649035
2010-06-30,-0.013352530485432501,0.0,-0.0,-0.0,1.0,1.5257266231579267
2010-07-31,0.07260014477478749,0.0,0.0,0.0,1.0,1.63649459688594
2010-08-31,0.0368921985083146,0.0,0.0,0.0,1.0,1.6968684804120402
2010-09-30,0.012283449513220912,0.0,0.0,0.0,1.0,1.7177118787217573
2010-10-31,0.011950707842591557,0.0,0.0,0.0,1.0,1.7382397515421102
2010-11-30,-0.0713916785477694,0.0,-0.0,-0.0,1.0,1.6141438979610614
2010-12-31,0.027064622962543305,0.0,0.0,0.0,1.0,1.6578300939666675
2011-01-31,0.028274631356266955,0.0,0.0,0.0,1.0,1.7047046287249004
2011-02-28,0.03759853683843284,0.0,0.0,0.0,1.0,1.7687990285066606
2011-03-31,0.0038901398096815587,0.0,0.0,0.0,1.0,1.7756799040227804
2011-04-30,0.026305876871789424,0.0,0.0,0.0,1.0,1.8223907209417145
2011-05-31,0.024395061380041216,0.0,0.0,0.0,1.0,1.8668480544375052
2011-06-30,0.0010453821209377434,0.0,0.0,0.0,1.0,1.8687996240161215
2011-07-31,-0.038461814710322506,0.0,-0.0,-0.0,1.0,1.7969221991464932
2011-08-31,0.03695357980275382,1.0,0.03695357980275382,0.03595357980275382,1.035953579802754,1.863324907031993
2011-09-30,-0.04760231658743075,1.0,-0.04760231658743075,-0.04760231658743075,0.9866397895271011,1.7746263249022112
2011-10-31,0.04405775066759565,1.0,0.04405775066759565,0.04405775066759565,1.0301089193728152,1.8528123690529044
2011-11-30,-0.0070374155091287305,-1.0,0.0070374155091287305,0.0050374155091287304,1.0352980060193557,1.839773358551426
2011-12-31,0.09812453065484106,-1.0,-0.09812453065484106,-0.09812453065484106,0.9337098750908136,2.0203002558705654
2012-01-31,-0.01691873257214649,-1.0,0.01691873257214649,0.01691873257214649,0.9495070627674473,1.986119336126052
2012-02-29,0.004282129583464522,1.0,0.004282129583464522,0.0022821295834645223,0.9516739609250975,1.9946241564915683
2012-03-31,0.026382317602147598,1.0,0.026382317602147598,0.026382317602147598,0.9767813256159172,2.0472469644850446
2012-04-30,0.05353614993091749,1.0,0.05353614993091749,0.05353614993091749,1.0290744371138114,2.1568486849213317
2012-05-31,0.024820222771075207,1.0,0.024820222771075207,0.024820222771075207,1.054616293890995,2.21038214976458
2012-06-30,0.05310642855994341,1.0,0.05310642855994341,0.05310642855994341,1.1106231987606696,2.327767651491227
2012-07-31,0.030373916596476258,1.0,0.030373916596476258,0.030373916596476258,1.144357175169938,2.3984710719935967
2012-08-31,-0.04223229821252983,1.0,-0.04223229821252983,-0.04223229821252983,1.0960283416865129,2.297178126427037
2012-09-30,0.04486678478465422,1.0,0.04486678478465422,0.04486678478465422,1.145203609410843,2.400245123037454
2012-10-31,-0.0038385959257922764,1.0,-0.0038385959257922764,-0.0038385959257922764,1.140807635501556,2.39103155188726
2012-11-30,-0.01051513994028741,1.0,-0.01051513994028741,-0.01051513994028741,1.1288118835693086,2.3658895205175225
2012-12-31,0.006985610865788416,1.0,0.006985610865788416,0.006985610865788416,1.1366973241286014,2.3824167040593047
2013-01-31,0.04133540982846862,1.0,0.04133540982846862,0.04133540982846862,1.1836831738723808,2.4808948749037856
2013-02-28,0.006695617047830726,-1.0,-0.006695617047830726,-0.008695617047830726,1.1733903182864256,2.4975059969220674
2013-03-31,0.08083974457524423,-1.0,-0.08083974457524423,-0.08083974457524423,1.0785337446690864,2.699403743788388
2013-04-30,0.05599907834972773,-1.0,-0.05599907834972773,-0.05599907834972773,1.018136848998537,2.8505678655343423
2013-05-31,-0.07003580170776191,-1.0,0.07003580170776191,0.07003580170776191,1.089442879466364,2.6509260597492608
2013-06-30,0.07749223594289889,-1.0,-0.07749223594289889,-0.07749223594289889,1.0050195148044454,2.85635224743853
2013-07-31,0.06296032385619954,-1.0,-0.06296032385619954,-0.06296032385619954,0.941743160670557,3.036189109984643
2013-08-31,-0.06454892099352993,-1.0,0.06454892099352993,0.06454892099352993,1.002531665544878,2.8402063790028285
2013-09-30,-0.002488697225011771,-1.0,0.002488697225011771,0.002488697225011771,1.005026663318906,2.8331379652689432
2013-10-31,0.05726053163544376,-1.0,-0.05726053163544376,-0.05726053163544376,0.9474783022694693,2.995364951356802
2013-11-30,0.0058219866288384825,1.0,0.0058219866288384825,0.0038219866288384825,0.9510995516718578,3.0128039260520927
2013-12-31,0.012176706631753964,1.0,0.012176706631753964,0.012176706631753964,0.9626808118901587,3.0494899555986255
2014-01-31,0.07369812071469117,1.0,0.07369812071469117,0.07369812071469117,1.0336285785745565,3.274231634464571
2014-02-28,0.0020530807817249475,-1.0,-0.0020530807817249475,-0.0040530807817249475,1.0294391984472944,3.280953896508206
2014-03-31,0.04628492155758246,-1.0,-0.04628492155758246,-0.04628492155758246,0.9817916858988608,3.432812590242133
2014-04-30,0.044237947819179446,-1.0,-0.044237947819179446,-0.044237947819179446,0.9383592365287627,3.584673174482287
2014-05-31,-0.01762186280518896,1.0,-0.01762186280518896,-0.01962186280518896,0.9199468803276135,3.521504555600119
2014-06-30,0.05258837695834773,1.0,0.05258837695834773,0.05258837695834773,0.968325393651938,3.706694764630557
2014-07-31,-0.08382124855089201,1.0,-0.08382124855089201,-0.08382124855089201,0.8871591501524986,3.395994981462169
2014-08-31,0.0564864722834455,-1.0,-0.0564864722834455,-0.0584864722834455,0.8352723411060994,3.5878227578572517
2014-09-30,-0.046419700680352394,-1.0,0.046419700680352394,0.046419700680352394,0.8740454331668217,3.4212770993433614
2014-10-31,0.06753340360591631,-1.0,-0.06753340360591631,-0.06753340360591631,0.8150181701588588,3.6523275865409954
2014-11-30,0.04897586922100228,-1.0,-0.04897586922100228,-0.04897586922100228,0.7751019468444179,3.831203504771686
2014-12-31,0.018201385705453044,-1.0,-0.018201385705453044,-0.018201385705453044,0.7609940173488551,3.9009367174781193
2015-01-31,0.027754302897837757,-1.0,-0.027754302897837757,-0.027754302897837757,0.7398731588879126,4.009204496720304
2015-02-28,-0.045986234195226294,1.0,-0.045986234195226294,-0.047986234195226296,0.7043694322107553,3.8248362797975703
2015-03-31,0.0057026039687007035,1.0,0.0057026039687007035,0.0057026039687007035,0.7083861721303119,3.8466478063463745
2015-04-30,-0.029985672710287625,1.0,-0.029985672710287625,-0.029985672710287625,0.6871447362203188,3.731303484193526
2015-05-31,0.021757141134495228,1.0,0.021757141134495228,0.021757141134495228,0.7020950412260898,3.8124859807147584
2015-06-30,-0.04211393935739516,1.0,-0.04211393935739516,-0.04211393935739516,0.6725270532367664,3.6519271773220177
2015-07-31,0.07314075461899439,1.0,0.07314075461899439,0.07314075461899439,0.7217161894121922,3.919031886884964
2015-08-31,-0.057321959322271354,1.0,-0.057321959322271354,-0.057321959322271354,0.6803460033604818,3.69438530048226
2015-09-30,-0.008739020574279333,1.0,-0.008739020574279333,-0.008739020574279333,0.6744004456394859,3.6620999913320302
2015-10-31,0.05238335115550563,1.0,0.05238335115550563,0.05238335115550563,0.7097278010028485,3.85393306114455
2015-11-30,-0.019763049821149292,1.0,-0.019763049821149292,-0.019763049821149292,0.6957014151121744,3.7777675900497756
2015-12-31,0.04035603354799089,1.0,0.04035603354799089,0.04035603354799089,0.7237771647598261,3.930223305650337
2016-01-31,0.07527192881864408,1.0,0.07527192881864408,0.07527192881864408,0.7782572679861878,4.226058794554625
2016-02-29,0.017559990752484378,-1.0,-0.017559990752484378,-0.01955999075248438,0.7630345630213242,4.300268347906459
