Date,retorno_mensual_activo,posicion,retorno_estrategia_bruto,retorno_estrategia_neto,equity_estrategia,equity_buy_and_hold
2000-02-29,-0.07218725357452083,0.0,-0.0,-0.0,1.0,0.9278127464254792
2000-03-31,0.19255670789765955,0.0,0.0,0.0,1.0,1.1064693144226554
2000-04-30,-0.017639062317387433,0.0,-0.0,-0.0,1.0,1.0869522332332773
2000-05-31,0.11052729381706716,0.0,0.0,0.0,1.0,1.207090122080969
2000-06-30,-0.0037738307370337454,0.0,-0.0,-0.0,1.0,1.2025347682758902
2000-07-31,-0.02525214485628502,0.0,-0.0,-0.0,1.0,1.1721681861126683
2000-08-31,0.11730073511605066,0.0,0.0,0.0,1.0,1.309664376023332
2000-09-30,0.23214272436738703,0.0,0.0,0.0,1.0,1.6136934322803023
2000-10-31,0.0035639530530213737,0.0,0.0,0.0,1.0,1.619444559914918
2000-11-30,0.011936041361983118,0.0,0.0,0.0,1.0,1.6387743171655011
2000-12-31,0.08301856749960446,0.0,0.0,0.0,1.0,1.7748230134317236
2001-01-31,-0.1916374623055188,0.0,-0.0,-0.0,1.0,1.4347004350962342
2001-02-28,0.13136706427561706,0.0,0.0,0.0,1.0,1.623172819369777
2001-03-31,-0.05764786244994047,0.0,-0.0,-0.0,1.0,1.529600375946266
2001-04-30,-0.022838561832358772,0.0,-0.0,-0.0,1.0,1.494666503181418
2001-05-31,-0.01805672557001059,0.0,-0.0,-0.0,1.0,1.4676777203147837
2001-06-30,0.033647495242125736,0.0,0.0,0.0,1.0,1.5170613994260493
2001-07-31,-0.10313897476414391,0.0,-0.0,-0.0,1.0,1.360593242034989
2001-08-31,0.01669984204339281,0.0,0.0,0.0,1.0,1.3833149342622812
2001-09-30,-0.014719090968682735,0.0,-0.0,-0.0,1.0,1.3629537959065374
2001-10-31,-0.008403795179070639,0.0,-0.0,-0.0,1.0,1.351499811367202
2001-11-30,0.05396068714976021,0.0,0.0,0.0,1.0,1.4244276698713476
2001-12-31,0.01805080715831031,0.0,0.0,0.0,1.0,1.4501397390511566
2002-01-31,-0.049468596578115864,0.0,-0.0,-0.0,1.0,1.3784033613181408
