Date,retorno_diario_activo,posicion,spread_estimado,retorno_estrategia_bruto,retorno_estrategia_neto,equity_estrategia,equity_buy_and_hold
2005-01-04,-0.012178369574221248,0.0,0.0,-0.0,-0.0,1.0,0.9878216304257788
2005-01-05,-0.012877399440532455,0.0,0.0,-0.0,-0.0,1.0,0.975101056714788
2005-01-06,0.016236515229474113,0.0,0.010413049914961949,0.0,0.0,1.0,0.990933299872414
2005-01-07,-0.0019118627890720719,0.0,0.0,-0.0,-0.0,1.0,0.9890387713699355
2005-01-10,0.0034206086941008795,0.0,0.008820907176787319,0.0,0.0,1.0,0.9924218859900863
2005-01-11,-0.011453575394884674,0.0,2.85594387315465e-05,-0.0,-0.0,1.0,0.9810551070953653
2005-01-12,0.004828182782075974,0.0,0.0005657607536715526,0.0,0.0,1.0,0.9857918204717108
2005-01-13,0.004804088457279976,0.0,0.0,0.0,0.0,1.0,0.9905276515777199
2005-01-14,0.0005462015880719484,0.0,0.007291277217788072,0.0,0.0,1.0,0.9910686793540409
2005-01-18,0.011606110359533739,0.0,0.007815576879709595,0.0,0.0,1.0,1.0025711318205013
2005-01-19,-0.004049306637027961,0.0,0.0,-0.0,-0.0,1.0,0.9985114138823279
2005-01-20,0.004201253317127618,0.0,0.007306266300739298,0.0,0.0,1.0,1.0027064132720909
2005-01-21,0.0068820028776279685,0.0,0.0,0.0,0.0,1.0,1.0096070416936453
2005-01-24,0.0005366563368169874,0.0,0.006578189545045583,0.0,0.0,1.0,1.0101488537102652
2005-01-25,-0.01098453944753952,0.0,0.0018069864142476752,-0.0,-0.0,1.0,0.9990528337787979
2005-01-26,0.01787849686982801,0.0,0.012180949054161854,0.0,0.0,1.0,1.016914396740305
2005-01-27,0.00039938312033216405,0.0,0.0,0.0,0.0,1.0,1.0173205351851857
2005-01-28,0.005054713301414049,0.0,0.00647765415735803,0.0,0.0,1.0,1.0224627988261878
2005-01-31,0.014293635044813069,0.0,0.0,0.0,0.0,1.0,1.0370775089195075
2005-02-01,0.013700304399745011,0.0,0.0,0.0,0.0,1.0,1.051285786477834
2005-02-02,0.006564268822455199,0.0,0.0,0.0,0.0,1.0,1.0581867089895007
2005-02-03,0.007160859010340026,0.0,0.006023769574827456,0.0,0.0,1.0,1.0657642348191902
2005-02-04,0.011935359815331559,0.0,0.0,0.0,0.0,1.0,1.0784845144400688
2005-02-07,-0.006023048342545967,0.0,0.004560154291412442,-0.0,-0.0,1.0,1.071988750072909
2005-02-08,0.009088906404016495,0.0,0.004948984814949182,0.0,0.0,1.0,1.0817319554884803
2005-02-09,-0.006880568287363387,0.0,0.006201060511795481,-0.0,-0.0,1.0,1.0742890249001187
2005-02-10,-0.0036528721187242263,0.0,0.0,-0.0,-0.0,1.0,1.0703647844736095
2005-02-11,-0.0044244103922951306,0.0,0.0,-0.0,-0.0,1.0,1.0656290513976376
