Date,retorno_estrategia_bruto,retorno_estrategia_neto,equity_estrategia,retorno_mensual_activo,equity_buy_and_hold
2005-02-28,0.0,0.0,0.999,0.035359950665326156,1.0353599506653262
2005-03-31,0.0,0.0,0.999,0.020979981194624298,1.057081782959952
2005-04-30,0.0,0.0,0.999,0.016686950340023543,1.0747212541775482
2005-05-31,0.0,0.0,0.999,-0.004164240253073492,1.0702458566700683
2005-06-30,0.0,0.0,0.999,0.04380199632319015,1.1171247617488402
2005-07-31,0.0,0.0,0.999,0.025201943941808747,1.145278477370441
2005-08-31,0.0,0.0,0.999,0.007545828698315216,1.1539205525725456
2005-09-30,0.0,0.0,0.999,0.10466479525250172,1.2746954109452047
2005-10-31,0.0,0.0,0.999,-0.09537825925298082,1.153117181571488
2005-11-30,0.0,0.0,0.999,-0.007358784820918118,1.1446316403589998
2005-12-31,0.0,0.0,0.999,-0.01958031274426053,1.1222193948637946
2006-01-31,0.0,0.0,0.999,0.005534211489206076,1.1284299943322598
2006-02-28,0.0,0.0,0.999,0.0033502668611740116,1.132210535947426
2006-03-31,-0.006985375803733681,-0.006985375803733681,0.99202160957207,-0.03392695684116931,1.0937980779592205
2006-04-30,-0.00269058133201144,-0.00269058133201144,0.9893524947484035,-0.013452732658697508,1.0790835048338379
2006-05-31,0.00116170499378624,0.00116170499378624,0.9905018304821676,0.005807822659977591,1.0853506304652198
2006-06-30,0.00969532096697158,0.00969532096697158,1.0001050636470652,0.04847723558847328,1.1379654286743803
2006-07-31,0.00850656173865512,0.00850656173865512,1.0086125191161206,0.04253271856205454,1.1863661919855355
2006-08-31,0.0078445539321847,0.0078445539321847,1.0165246344190038,0.039222925888543037,1.2328989452104573
2006-09-30,0.00247478982480088,0.00247478982480088,1.0190403192409234,0.012373409593614992,1.2481541088470822
2006-10-31,0.02666667979356338,0.02666667979356338,1.0462147411308516,0.13333404521525605,1.4145755452317068
2006-11-30,-0.01091672852864884,-0.01091672852864884,1.0347934988192553,0.052583361298514486,1.4889586822106688
2006-12-31,0.0038026288808686998,0.0038026288808686998,1.0387284344636007,0.021013080920140093,1.5202462914867068
2007-01-31,0.016191136239725804,0.016191136239725804,1.055546628062078,0.040977191555751524,1.5825417149848784
2007-02-28,0.02020688934704922,0.02020688934704922,1.0768759419759795,0.05051773741709531,1.6624881417940842
2007-03-31,0.014010090658557742,0.014010090658557742,1.0919630715510829,0.03502574633204891,1.720718029728603
2007-04-30,0.02092531727086728,0.02092531727086728,1.1148127452713599,0.0523128942726816,1.8107337700908925
2007-05-31,-0.0027341730812405806,-0.0027341730812405806,1.111764654272615,-0.006835329011220637,1.7983568090205932
2007-06-30,-0.04259785717056484,-0.04259785717056484,1.0644058623226276,-0.10649453780227258,1.6068416318403753
2007-07-31,-0.00040009658626814033,-0.00040009658626814033,1.0639799971707085,0.017448147408673398,1.6348780414951194
2007-08-31,-1.1686538139987768e-07,-1.1686538139987768e-07,1.0639798728282803,0.02657823444222074,1.6783302133664153
2007-09-30,2.3432139804879792e-09,2.3432139804879792e-09,1.063979875321413,0.03467001258888591,1.7365179429921365
2007-10-31,2.9863460759838034e-08,2.9863460759838034e-08,1.0639799070955342,0.12385018019237148,1.9515860031389989
2007-11-30,-1.8375323619472528e-08,-1.8375323619472528e-08,1.0639798875445592,0.02577524812841747,2.001888616613853
2007-12-31,1.727901544068544e-08,1.727901544068544e-08,1.0639799059290842,-0.028382888088783642,1.945069236042292
2008-01-31,-2.1406387119490833e-08,-2.1406387119490833e-08,1.0639798831531184,-0.05060508167720601,1.8466388484845513
2008-02-29,5.794751407883769e-08,5.794751407883769e-08,1.0639799448081078,-0.05661932308246709,1.7420834069055695
2008-03-31,-2.1703969999703476e-08,-2.1703969999703476e-08,1.063979921715519,0.040637337355804215,1.8128770380139398
2008-04-30,1.4717512647997866e-07,1.4717512647997866e-07,1.0639800783068987,0.0565825551191117,1.9154542529415355
2008-05-31,-1.0089516355987066e-07,-1.0089516355987066e-07,1.0639799709564546,0.018554455406456505,1.9509944634608467
2008-06-30,4.286794001370775e-10,4.286794001370775e-10,1.0639799714125608,-0.02211967438223794,1.9078391012075437
2008-07-31,-3.931928872031795e-08,-3.931928872031795e-08,1.063979929577625,-0.016010715362626993,1.8772932324004197
2008-08-31,-2.1397791479665917e-08,-2.1397791479665917e-08,1.0639799068108045,-0.06241133023380219,1.7601288645273951
2008-09-30,4.67220106423194e-08,4.67220106423194e-08,1.063979956522085,-0.1625043110610307,1.4741003360187366
2008-10-31,-8.89935273407777e-08,-8.89935273407777e-08,1.0639798618347558,-0.060834148083449335,1.3844246978875103
2008-11-30,-0.0171049602497088,-0.0171049602497088,1.0457805285915818,0.04176131380526926,1.4422400921357557
2008-12-31,-0.012879441323831141,-0.012879441323831141,1.0323114596359815,0.03219881153824833,1.4886785090553407
2009-01-31,-0.009695886183427921,-0.009695886183427921,1.0223022852175028,0.02423978280252448,1.524763752777628
2009-02-28,0.04484244507203081,0.04484244507203081,1.0681448192893803,-0.11210603011467923,1.353828541590968
2009-03-31,-0.0476504716218724,-0.0476504716218724,1.0172472148897818,0.1191261790546756,1.5151049628458642
2009-04-30,-0.02412801252963772,-0.02412801252963772,0.9927030613431821,0.060319719380835135,1.6064956690372374
