Date,retorno_mensual_activo,posicion,retorno_estrategia_bruto,retorno_estrategia_neto,equity_estrategia,equity_buy_and_hold
2005-02-28,0.035359940638093335,0.0,0.0,0.0,1.0,1.0353599406380933
2005-03-31,0.020979792854251444,0.0,0.0,0.0,1.0,1.0570815777222706
2005-04-30,0.016687217110965546,0.0,0.0,0.0,1.0,1.0747213275137242
2005-05-31,-0.00416459060139418,0.0,-0.0,-0.0,1.0,1.0702455531740427
2005-06-30,0.04380199632319015,0.0,0.0,0.0,1.0,1.1171244449590827
2005-07-31,0.025201943941808747,0.0,0.0,0.0,1.0,1.1452781525969657
2005-08-31,0.007545498559024422,0.0,0.0,0.0,1.0,1.1539198472470682
2005-09-30,0.10466474763096856,0.0,0.0,0.0,1.0,1.2746945768455484
2005-10-31,-0.09537762721949528,0.0,-0.0,-0.0,1.0,1.1531172326764614
2005-11-30,-0.007359274250434145,0.0,-0.0,-0.0,1.0,1.1446311267182936
2005-12-31,-0.01957990307081703,0.0,-0.0,-0.0,1.0,1.1222193602053092
2006-01-31,0.005533873167929526,0.0,0.0,0.0,1.0,1.1284295798112804
2006-02-28,0.0033500996075173095,0.0,0.0,0.0,1.0,1.132209931303717
2006-03-31,-0.03392688185113735,0.0,-0.0,-0.0,1.0,1.0937975787336915
2006-04-30,-0.01345238930625614,0.0,-0.0,-0.0,1.0,1.0790833878823256
2006-05-31,0.005807909240271192,0.0,0.0,0.0,1.0,1.0853506062618306
2006-06-30,0.048476787462657045,0.0,0.0,0.0,1.0,1.1379649169240513
2006-07-31,0.042532476432314725,0.0,0.0,0.0,1.0,1.1863653829339245
2006-08-31,0.03922333989627891,0.0,0.0,0.0,1.0,1.2328985955899208
2006-09-30,0.012373562931982995,0.0,0.0,0.0,1.0,1.2481539439512062
2006-10-31,0.13333341916305574,0.0,0.0,0.0,1.0,1.4145745769400735
2006-11-30,0.05258338238100668,0.0,0.0,0.0,1.0,1.4889576928257642
2006-12-31,0.021013596797957224,0.0,0.0,0.0,1.0,1.5202460494320214
2007-01-31,0.04097787041418832,1.0,0.04097787041418832,0.03997787041418832,1.0399778704141882,1.5825424950433284
2007-02-28,0.05051704116009126,1.0,0.05051704116009126,0.05051704116009126,1.0925144752994858,1.6624878594030257
2007-03-31,0.035025514918053835,1.0,0.035025514918053835,0.035025514918053835,1.1307803573522777,1.7207173527236297
2007-04-30,0.05231333948956718,1.0,0.05231333948956718,0.05231333948956718,1.1899352540745816,1.8107338237622503
2007-05-31,-0.006835640086928052,1.0,-0.006835640086928052,-0.006835640086928052,1.1818012849509805,1.7983562990497846
2007-06-30,-0.10649495829883071,1.0,-0.10649495829883071,-0.10649495829883071,1.0559454063926212,1.6068404199760382
2007-07-31,0.017448155620027217,-1.0,-0.017448155620027217,-0.01944815562002722,1.0354092158028447,1.63487682168033
2007-08-31,0.02657870927992989,-1.0,-0.02657870927992989,-0.02657870927992989,1.0078893752702607,1.6783297374322672
2007-09-30,0.034670463157458364,-1.0,-0.034670463157458364,-0.034670463157458364,0.9729453838181594,1.7365182067599794
2007-10-31,0.12384947305335103,-1.0,-0.12384947305335103,-0.12384947305335103,0.85244661072259,1.951585071614753
2007-11-30,0.02577525312213025,-1.0,-0.02577525312213025,-0.02577525312213025,0.8304745835581132,2.0018876708249937
2007-12-31,-0.028382987885724686,-1.0,0.028382987885724686,0.028382987885724686,0.8540459336026454,1.9450681173153863
2008-01-31,-0.050604707653358005,-1.0,0.050604707653358005,0.050604707653358005,0.8972646783951465,1.8466385138727737
2008-02-29,-0.056619010159341454,-1.0,0.056619010159341454,0.056619010159341454,0.9480669163368194,1.74208366909518
2008-03-31,0.040636885636573084,-1.0,-0.040636885636573084,-0.040636885636573084,0.9095404294818216,1.8128765239255424
2008-04-30,0.05658224227266673,-1.0,-0.05658224227266673,-0.05658224227266673,0.8580765925440957,1.9154531426127275
2008-05-31,0.018555053085993256,-1.0,-0.018555053085993256,-0.018555053085993256,0.8421549358175918,1.9509944773576393
2008-06-30,-0.022119764851710633,-1.0,0.022119764851710633,0.022119764851710633,0.8607832049665844,1.9078389382915022
2008-07-31,-0.01601120764717001,-1.0,0.01601120764717001,0.01601120764717001,0.8745653836005008,1.8772921328931607
2008-08-31,-0.062411046977266404,-1.0,0.062411046977266404,0.062411046977266404,0.9291479248410828,1.760128365397113
2008-09-30,-0.16250420365371754,-1.0,0.16250420365371754,0.16250420365371754,1.0801383684438872,1.4741001070499355
2008-10-31,-0.06083471739839841,-1.0,0.06083471739839841,0.06083471739839841,1.1458482808393382,1.3844236436206039
2008-11-30,0.04176242620882342,-1.0,-0.04176242620882342,-0.04176242620882342,1.0979948765642782,1.4422405338790598
2008-12-31,0.03219846484221267,-1.0,-0.03219846484221267,-0.03219846484221267,1.0626411271342937,1.4886784650031788
