Date,retorno_estrategia_bruto,retorno_estrategia_neto,equity_estrategia,retorno_mensual_activo,equity_buy_and_hold
2005-02-28,0.0,0.0,1.0,0.035359950665326156,1.0353599506653262
2005-03-31,0.0,0.0,1.0,0.020979981194624298,1.057081782959952
2005-04-30,0.0,0.0,1.0,0.016686950340023543,1.0747212541775482
2005-05-31,0.0,0.0,1.0,-0.004164240253073492,1.0702458566700683
2005-06-30,0.0,0.0,1.0,0.04380199632319015,1.1171247617488402
2005-07-31,0.0,0.0,1.0,0.025201943941808747,1.145278477370441
2005-08-31,0.0,0.0,1.0,0.007545828698315216,1.1539205525725456
2005-09-30,0.0,0.0,1.0,0.10466479525250172,1.2746954109452047
2005-10-31,0.0,0.0,1.0,-0.09537825925298082,1.153117181571488
2005-11-30,0.0,0.0,1.0,-0.007358784820918118,1.1446316403589998
2005-12-31,0.0,0.0,1.0,-0.01958031274426053,1.1222193948637946
2006-01-31,0.0,0.0,1.0,0.005534211489206076,1.1284299943322598
2006-02-28,0.0,0.0,1.0,0.0033502668611740116,1.132210535947426
2006-03-31,0.0,0.0,1.0,-0.03392695684116931,1.0937980779592205
2006-04-30,0.0,0.0,1.0,-0.013452732658697508,1.0790835048338379
2006-05-31,0.0,0.0,1.0,0.005807822659977591,1.0853506304652198
2006-06-30,0.0,0.0,1.0,0.04847723558847328,1.1379654286743803
2006-07-31,0.0,0.0,1.0,0.04253271856205454,1.1863661919855355
2006-08-31,0.0,0.0,1.0,0.039222925888543037,1.2328989452104573
2006-09-30,0.0,0.0,1.0,0.012373409593614992,1.2481541088470822
2006-10-31,0.0,0.0,1.0,0.13333404521525605,1.4145755452317068
2006-11-30,0.0,0.0,1.0,0.052583361298514486,1.4889586822106688
2006-12-31,0.0,0.0,1.0,0.021013080920140093,1.5202462914867068
2007-01-31,0.0,0.0,1.0,0.040977191555751524,1.5825417149848784
2007-02-28,0.0,0.0,1.0,0.05051773741709531,1.6624881417940842
2007-03-31,0.0,0.0,1.0,0.03502574633204891,1.720718029728603
2007-04-30,0.0,0.0,1.0,0.0523128942726816,1.8107337700908925
2007-05-31,0.0,0.0,1.0,-0.006835329011220637,1.7983568090205932
2007-06-30,0.0,0.0,1.0,-0.10649453780227258,1.6068416318403753
2007-07-31,0.0,0.0,1.0,0.017448147408673398,1.6348780414951194
2007-08-31,0.0,0.0,1.0,0.02657823444222074,1.6783302133664153
2007-09-30,0.0,0.0,1.0,0.03467001258888591,1.7365179429921365
2007-10-31,0.0,0.0,1.0,0.12385018019237148,1.9515860031389989
2007-11-30,0.0,0.0,1.0,0.02577524812841747,2.001888616613853
2007-12-31,0.0,0.0,1.0,-0.028382888088783642,1.945069236042292
2008-01-31,0.0,0.0,1.0,-0.05060508167720601,1.8466388484845513
2008-02-29,0.006477109739702825,0.005477109739702825,1.0054771097397028,-0.05661932308246709,1.7420834069055695
2008-03-31,-0.004511664829823309,-0.004515038013123334,1.0009373423679027,0.040637337355804215,1.8128770380139398
