Date,retorno_estrategia_bruto,retorno_estrategia_neto,equity_estrategia,retorno_mensual_activo,equity_buy_and_hold
2005-02-28,0.0,0.0,1.0,0.0048000751988458434,1.0048000751988457
2005-03-31,0.0,0.0,1.0,0.016580889858159937,1.0214605545751885
2005-04-30,0.0,0.0,1.0,0.035271362401952944,1.0574888599749097
2005-05-31,0.0,0.0,1.0,-0.007688348753931762,1.0493585168160249
2005-06-30,0.0,0.0,1.0,0.04896202646309655,1.100737236285647
2005-07-31,0.0,0.0,1.0,0.012934694209661682,1.1149749358421899
2005-08-31,0.0,0.0,1.0,0.0017229507721954935,1.1168959827688778
2005-09-30,0.0,0.0,1.0,0.05013633754041987,1.1728930567585172
2005-10-31,0.0,0.0,1.0,-0.06970933322720341,1.0911314638250644
2005-11-30,0.0,0.0,1.0,0.007280352240452315,1.0990752852223513
2005-12-31,0.0,0.0,1.0,-0.0009333087553575018,1.0980495086358564
2006-01-31,0.0,0.0,1.0,0.015380103247562301,1.114937623449611
2006-02-28,-0.009347257632163859,-0.010347257632163858,0.9896527423678362,0.0015693574938027883,1.1166873591640942
2006-03-31,-0.023134238257903332,-0.02472999685285571,0.9651786331636596,-0.014848036047096022,1.1001067450018893
2006-04-30,-0.005474207820006242,-0.005707580192581949,0.9596697987147114,-0.006251494130138406,1.0932294341429845
2006-05-31,0.012455268254787601,0.01210524881679752,0.9712868404101188,-0.00755231173710728,1.0849730246561553
2006-06-30,-0.020424817000497718,-0.02176137839135979,0.9501502999494059,0.03057659347072302,1.1181478037577672
2006-07-31,0.00816705729690376,0.007983512337761324,0.9577358365917797,0.042952286895103255,1.1661748090159005
2006-08-31,0.008501652883478272,0.008214611257532409,0.9656032641767887,0.02179153962400293,1.1915875535750846
2006-09-30,-0.0018991190526540039,-0.0021348684821450004,0.9635418282018413,0.008194482943635414,1.201351997458704
2006-10-31,0.039343346687577635,0.03796493950053162,1.000122635415756,0.07910440435157044,1.2963842316342442
2006-11-30,-0.009449037986905284,-0.010677888572763557,0.989443437355688,0.023948716944846016,1.3274309706494145
2006-12-31,-0.0070007247361160724,-0.007303347578756577,0.9822171880231597,0.028271290761468393,1.3649591575864224
2007-01-31,-0.021796899320089727,-0.021868619619482315,0.9607374539545638,0.01744013933798864,1.388764235485393
2007-02-28,-0.02678341249435191,-0.02693195791295634,0.9348629132792586,0.01698251738093585,1.412348948252546
2007-03-31,-0.005524986694679549,-0.005625029224157964,0.9296042820714814,0.029921706406352094,1.454608838825479
2007-04-30,-0.012966079663250711,-0.013262841032706488,0.9172750882550441,0.031584413310146754,1.5005518055955356
2007-05-31,-0.015241824676287881,-0.015388630593909457,0.9031594807688915,-0.027239726145032155,1.4596771853446797
2007-06-30,0.026717784979443562,0.026669360832621253,0.9272461668509199,-0.0725728640584048,1.3537442314035053
2007-07-31,-0.0315096432082547,-0.031699946797222225,0.8978525126938175,-0.02363560916371832,1.3217476618424138
2007-08-31,0.023912948391039506,0.023699929779829185,0.9191315541973042,0.061247037106635295,1.4027007899328847
2007-09-30,-0.0062718545559188685,-0.0065445897681353955,0.913116215232134,0.02533801269574683,1.4382424403565381
2007-10-31,-0.05605973309600801,-0.05610047296309259,0.8618899636873423,0.05333580234796013,1.5149522548838423
2007-11-30,0.005108701724387255,0.0049385255024019395,0.8661464292532765,0.035805546394603725,1.569195948131695
2007-12-31,0.02648623385913685,0.02645930495197924,0.8890640617579568,0.0069519185961883405,1.5801048706245753
2008-01-31,-0.00432965736062281,-0.00478588304111689,0.8848091051423229,-0.058957629303348545,1.486945633401876
2008-02-29,0.0034705630393819216,0.0025870992966027686,0.8870981941558644,-0.05184382530314491,1.409856683748515
2008-03-31,-0.008480896156013839,-0.008896917001189195,0.8792057551505549,0.02986262290395299,1.4519587022439144
2008-04-30,-0.011562370528095273,-0.01161437331126677,0.8689943312928221,0.04261521444531802,1.5138342337057844
2008-05-31,0.014027766160379405,0.013996965999451084,0.8811576154016434,0.007720213515221341,1.5255213572166446
2008-06-30,-0.01482637911103113,-0.014964933213901905,0.8679711505362367,-0.03900095230118805,1.4660245715293947
2008-07-31,0.012748929262104023,0.012212181005825566,0.87857097133442,0.006987643960310079,1.4762686292723082
