Datetime,retorno_mensual_activo,retorno_estrategia_neto,equity_estrategia,equity_buy_and_hold
2023-08-28 09:30:00-04:00,0.0,0.00034818549619308205,1.000348185496193,1.0
2023-08-28 10:30:00-04:00,-0.0032149820213647207,0.00041529176062300385,1.000763621855384,0.9967850179786353
2023-08-28 11:30:00-04:00,-0.0005864377080229133,3.463269678403503e-05,1.0007982809984521,0.9962004656573004
2023-08-28 12:30:00-04:00,-0.0010121790522807927,4.931902182621207e-05,1.0008476393907164,0.9951921324140897
2023-08-28 13:30:00-04:00,0.0004258282477049846,7.16258320557465e-05,1.0009193259356488,0.9956159133359653
2023-08-28 14:30:00-04:00,-0.001981425396713421,0.0001450689874708881,1.0010645282888024,0.9936431746799094
2023-08-28 15:30:00-04:00,0.00022059547088093545,0.00020515688013522852,1.0012699035642403,0.9938623678639155
2023-08-29 09:30:00-04:00,-0.004337682533062104,0.0008966180628177984,1.0021676602455318,0.9895513084305644
2023-08-29 10:30:00-04:00,-0.007752993057323798,0.0006899413474752867,1.0028590971514377,0.9818793240064365
2023-08-29 11:30:00-04:00,0.003414207864714358,0.00021528675276989188,1.003074999429949,0.9852316641166597
2023-08-29 12:30:00-04:00,0.00037966249305743105,0.00011906851016858205,1.0031944340757186,0.9856057196264973
2023-08-29 13:30:00-04:00,0.00029648814822280656,0.00014072047003082217,1.003335604068014,0.9858979400411872
2023-08-29 14:30:00-04:00,-0.00022232847346959073,3.73237414044831e-05,1.003373052306642,0.985678746857181
2023-08-29 15:30:00-04:00,0.0008896247695062698,8.167287265386654e-05,1.0034550006661673,0.9865556310851611
2023-08-30 09:30:00-04:00,-0.0034809747136038682,0.0006006221129674274,1.0040576979289353,0.9831214558797902
2023-08-30 10:30:00-04:00,-0.0034931342255141162,0.0005157819074020655,1.0045755727235146,0.9796872806744192
2023-08-30 11:30:00-04:00,0.0018645584470904364,0.00014259829103149225,1.004718823483397,0.9815139648691078
2023-08-30 12:30:00-04:00,0.0005210456672049002,3.79476929223241e-05,1.004756950244784,0.9820253784678039
2023-08-30 13:30:00-04:00,-0.0036457608379981687,0.0003886028109982197,1.005147401620019,0.9784451488010657
2023-08-30 14:30:00-04:00,0.001120109718336204,0.00015825922937194963,1.0053064754732046,0.9795411147210967
2023-08-30 15:30:00-04:00,0.0008950851810589633,9.845835228537418e-05,1.0054054562923216,0.9804178874571216
2023-08-31 09:30:00-04:00,0.0035773663178531034,0.0006667729173197118,1.0060758334215028,0.9839252013851314
2023-08-31 10:30:00-04:00,0.003935829235730326,0.00047540257393182534,1.0065541244622818,0.9877977629585148
2023-08-31 11:30:00-04:00,0.0009778988538358124,0.00032523871947409753,1.0068814948368032,0.9887637292587336
2023-08-31 12:30:00-04:00,-0.0050413396845184755,0.0003631257498455156,1.0072471194346215,0.983779035431809
2023-08-31 13:30:00-04:00,-0.0011883813341853067,5.2691438260196445e-05,1.007300192734028,0.982609930789139
2023-08-31 14:30:00-04:00,-0.001487187348275909,0.0001948290512064884,1.0074964440748584,0.9811486057317792
2023-08-31 15:30:00-04:00,-0.005361939434379348,0.0005018496083590775,1.0080020557707405,0.9758877463317197
2023-09-01 09:30:00-04:00,0.0083108762402051,0.00042351271546866524,1.0084289574585779,0.9839982286158153
2023-09-01 10:30:00-04:00,-0.0036385646382005588,0.0002983807364818525,1.008729853233594,0.9804178874571218
2023-09-01 11:30:00-04:00,-0.004918679679130955,0.0004504392997852556,1.009184224802357,0.9755955259170299
2023-09-01 12:30:00-04:00,-0.0027711980537502567,0.00025839840064011057,1.0094449963919971,0.9728919574943612
2023-09-01 13:30:00-04:00,0.004881781337359836,0.00035670060885984215,1.0098050660368207,0.9776414032957247
2023-09-01 14:30:00-04:00,-0.0004484122363624943,0.00026342056337082037,1.010071069456211,0.9772030169277123
2023-09-01 15:30:00-04:00,0.00014946173808039198,6.150920694941592e-05,1.0101331981266557,0.9773490713890797
2023-09-05 09:30:00-04:00,-0.009868362138443665,0.0014789014129190548,1.0116270855406018,0.9677042368169406
2023-09-05 10:30:00-04:00,-0.003020304650405037,0.00035313370328125067,1.0119843251596583,0.9647814752102658
2023-09-05 11:30:00-04:00,0.0032566491702137323,0.0005097036338729228,1.0125001372476146,0.9679234300009469
2023-09-05 12:30:00-04:00,-0.005737106513419188,0.000448307688043644,1.012954048843288,0.9623703501861974
2023-09-05 13:30:00-04:00,0.0031888098666468245,0.0002460769068237643,1.013203313442382,0.9654391662542395
