Date,retorno_mensual_activo,posicion,retorno_estrategia_bruto,retorno_estrategia_neto,equity_estrategia,equity_buy_and_hold
2008-03-17,0.011230934533957626,0.0,0.0,0.0,1.0,1.8618136817034334
2008-03-18,0.00048272265687865357,1.0,0.00048272265687865357,-0.0005172773431213465,0.9994827226568787,1.8627124213504784
2008-03-19,-0.0217181434670215,-1.0,0.0217181434670215,0.0197181434670215,1.0191906663750363,1.8222577657457857
2008-03-20,0.000986617507221066,1.0,0.000986617507221066,-0.0010133824927789341,1.0181578363969281,1.82405563716014
2008-03-24,0.02530001444609553,1.0,0.02530001444609553,0.02530001444609553,1.0439172443661757,1.8702042711307736
2008-03-25,0.003044261139506954,1.0,0.003044261139506954,0.003044261139506954,1.0470952010660608,1.875897661316317
2008-03-26,0.0014375043569843093,-1.0,-0.0014375043569843093,-0.0034375043569843094,1.043495806750219,1.8785942723777158
2008-03-27,0.009251987507468584,-1.0,-0.009251987507468584,-0.009251987507468584,1.03384139658207,1.8959750031173566
2008-03-28,-0.020704884764034537,1.0,-0.020704884764034537,-0.02270488476403454,1.0103681468083856,1.8567190591623217
2008-03-31,0.012588711626667859,1.0,0.012588711626667859,0.012588711626667859,1.0230873800453273,1.8800927599698543
2008-04-01,0.03426826460304788,-1.0,-0.03426826460304788,-0.036268264603047884,0.9859817762338043,1.944520276146776
2008-04-02,0.013561734704217399,1.0,0.013561734704217399,0.011561734704217399,0.9973814359538127,1.97089134425885
2008-04-03,0.00015180327568797836,-1.0,-0.00015180327568797836,-0.0021518032756879784,0.9952352673128169,1.9711905320209335
2008-04-04,0.002584739820230997,1.0,0.002584739820230997,0.0005847398202309968,0.9958172210041129,1.9762855466823104
2008-04-07,-0.0028814492702725625,-1.0,0.0028814492702725625,0.0008814492702725624,0.9966949833668919,1.9705909801359724
2008-04-08,0.005931179454443658,1.0,0.005931179454443658,0.003931179454443658,1.000613170207851,1.9822789088704669
2008-04-09,-0.002268122279207696,1.0,-0.002268122279207696,-0.002268122279207696,0.9983436571836338,1.9777828579136543
2008-04-10,-0.012878837594623271,1.0,-0.012878837594623271,-0.012878837594623271,0.9854861513591435,1.9523113136891543
2008-04-11,-0.004757817479649207,1.0,-0.004757817479649207,-0.004757817479649207,0.9807973881222548,1.943022572795167
2008-04-14,-0.004472803153070415,-1.0,0.004472803153070415,0.002472803153070415,0.9832227069961269,1.934331815305082
2008-04-15,0.007900861269896975,-1.0,-0.007900861269896975,-0.007900861269896975,0.975454400790738,1.9496147026277553
2008-04-16,0.03504457930907434,-1.0,-0.03504457930907434,-0.03504457930907434,0.9412700116798414,2.017938129696131
2008-04-17,-0.0005941251082711707,1.0,-0.0005941251082711707,-0.0025941251082711708,0.93882823950888,2.016739221986341
2008-04-18,-0.012778610058203466,1.0,-0.012778610058203466,-0.012778610058203466,0.9268313195245663,1.990968097879493
2008-04-21,0.002558866988646269,-1.0,-0.002558866988646269,-0.004558866988646269,0.9226060188179424,1.9960627204206047
2008-04-22,-0.0036031301843555408,-1.0,0.0036031301843555408,0.0036031301843555408,0.9259302884126134,1.9888706465827903
2008-04-23,0.020189789482390363,1.0,0.020189789482390363,0.01818978948239036,0.9427727654342078,2.0290255262450025
2008-04-24,-0.010633495268526527,1.0,-0.010633495268526527,-0.010633495268526527,0.9327477956936675,2.0074498929119566
2008-04-25,-0.005373500212424109,1.0,-0.005373500212424109,-0.005373500212424109,0.9277356752153695,1.9966628604859635
2008-04-28,-0.0028521402982797373,1.0,-0.0028521402982797373,-0.0028521402982797373,0.925089642909936,1.990968097879493
2008-04-29,0.00722479870525361,1.0,0.00722479870525361,0.00722479870525361,0.9317732293642752,2.005352441615254
2008-04-30,-0.00941431634652723,-1.0,0.00941431634652723,0.0074143163465272294,0.9386816908500072,1.986473419343607
2008-05-01,0.019007872119510827,-1.0,-0.019007872119510827,-0.019007872119510827,0.920839349309404,2.0242320520672976
2008-05-02,0.013323296411939411,1.0,0.013323296411939411,0.011323296411939411,0.9312662862094119,2.0512014957035385
2008-05-05,-0.018992164482402374,1.0,-0.018992164482402374,-0.018992164482402374,0.9135795237248068,2.012244739510587
2008-05-06,-0.006850260040380363,1.0,-0.006850260040380363,-0.006850260040380363,0.907321266419725,1.998460339780052
2008-05-07,-0.027290424629447863,1.0,-0.027290424629447863,-0.027290424629447863,0.8825600837838024,1.9439215085023438
2008-05-08,0.007707773886338032,-1.0,-0.007707773886338032,-0.009707773886338032,0.8739923900493216,1.958904815942669
2008-05-09,-0.0019889210133529067,1.0,-0.0019889210133529067,-0.003988921013352907,0.8705061034391434,1.9550087089910824
2008-05-12,0.007050712156426275,1.0,0.007050712156426275,0.007050712156426275,0.876643791404905,1.968792912661485
2008-05-13,-0.014915979545859437,1.0,-0.014915979545859437,-0.014915979545859437,0.8635677905433048,1.9394264378461932
2008-05-14,0.0037082498399210184,1.0,0.0037082498399210184,0.0037082498399210184,0.8667701156643479,1.946618315623875
2008-05-15,-0.01000636539801869,1.0,-0.01000636539801869,-0.01000636539801869,0.8580968971709275,1.9271397414672669
2008-05-16,0.0009331256555635825,1.0,0.0009331256555635825,0.0009331256555635825,0.8588976094006372,1.928938005001886
2008-05-19,0.025166839423318654,1.0,0.025166839423318654,0.025166839423318654,0.8805133476174953,1.9774832780313052
2008-05-20,-0.004394659346233287,-1.0,0.004394659346233287,0.002394659346233287,0.8826218771348509,1.968792912661485
2008-05-21,0.005022814180074331,1.0,0.005022814180074331,0.003022814180074331,0.8852898790606979,1.978681793620831
2008-05-22,0.008026777857278011,-1.0,-0.008026777857278011,-0.010026777857278011,0.8764132741040598,1.9945642328284658
2008-05-23,-0.016225628308500384,-1.0,0.016225628308500384,0.016225628308500384,0.8906336301343081,1.962201174949162
2008-05-27,0.004886712442646823,1.0,0.004886712442646823,0.0028867124426468233,0.8932046333162564,1.9717898878457623
2008-05-28,0.005319542964166368,1.0,0.005319542964166368,0.005319542964166368,0.8979560737389747,1.9822789088704666
2008-05-29,0.01889567804611536,-1.0,-0.01889567804611536,-0.020895678046115362,0.8791926727225713,2.0197354129300877
2008-05-30,0.0017807892590013807,1.0,0.0017807892590013807,-0.0002192107409986193,0.8789999442453033,2.0233321360594583
